Degree,Abbreviations
Bachelor of Arts,"BA, B.A., AB, A.B. or B.Arts"
Bachelor of Science And Arts,BSA
Bachelor of Accountancy,BAcy or B.Acy.
Bachelor of Accounting,BAcc or B.Acc.
Bachelor of Animal and Veterinary Bioscience,B.An.Vet.Bio.Sc.
Bachelor of Applied Science,B.App.Sc. or B.A.Sc.
Bachelor of Architecture,BArch or B.Arch.
Bachelor of Business Administration,BBA or B.B.A.
Bachelor of Civil Engineering,BCE or B.C.E.
Bachelor of Commerce,BComm or B.Comm. or BCom or B.Com.
Bachelor of Communications,B.Comm.
Bachelor of Computer Application,BCA
Bachelor of Dental Hygiene,BDH or B.D.H
Bachelor of Dental Medicine,BDM or B.D.M.
Bachelor of Dental Science,BDSc or B.D.Sc.
Bachelor of Dental Surgery,BDS or B.D.S. or BChD or B.Ch.D.
Bachelor of Dentistry,BDent or B.Dent.
Bachelor of Design,BDes or B.Des.
Bachelor of Design Computing,B.Des.Comp.
Bachelor of Design in Architecture,B.Des.Arch.
Bachelor of Education,BEd or B.Ed.
Bachelor of Engineering,BEng or B.Eng. or BE or B.E
Bachelor of Electronic Commerce,BEC or B.E-COM.
Bachelor of Electrical Engineering,BEE or B.E.E.
Bachelor of Fine Arts,BFA or B.F.A.
Bachelor of Health Sciences,B.Hlth.Sci
Bachelor of Information Technology,BIT or B.I.T.
Bachelor of International and Global Studies,BIGS or B.I.G.S.
Bachelor of Law,LLB or LL.B.
Bachelor of Liberal Arts and Sciences,BLAS or B.L.A.S.
Bachelor of Library Science,BLib or B.Lib. or BLS or B.L.S.
Bachelor of Literature,BLit or B.Lit.
Bachelor of Mathematics,BMath or B.Math
Bachelor of Mechanical Engineering,BME or B.M.E.
Bachelor of Medical Science,B.Med.Sc.
Bachelor of Medicine,MB or M.B.
Bachelor of Music,B.M.
Bachelor of Music Studies,B.Mus.Studies
Bachelor of Nursing,BN or B.N.
Bachelor of Pharmacy,B.Pharm.
Bachelor of Philosophy,B.Ph.
Bachelor of Policing,B.Pol.
Bachelor of Policing (Investigations),B.Pol.I.
Bachelor of Professional Studies,B.P.S
"Bachelor of Political, Economic and Social Sciences",B.P.E.S.S.
Bachelor of Resource Economics,B.Res.Ec.
Bachelor of Science,BS or B.S. or BSc or B.Sc.
Bachelor of Science in Dental Hygiene,BSDH or B.S.D.H
Bachelor of Science in Environmental and Occupational Health,BS.EOH
Bachelor of Science in Nursing,BSN
Bachelor of Socio-Legal Studies,BSLS or B.S.L.S.
Bachelor of Surgery,BS or B.S.
Bachelor of Technology,BTech or B.Tech.
Bachelor of Veterinary Science,B.V.Sc.
Bachelor of Visual Arts,BVA or B.V.A.
