Degree,Abbreviations
Doctor of Acupuncture,dac
Doctor of Audiology,aud
Doctor of Biblical Studies,dbs
Doctor of Biblical Studies,db
Doctor of Chiropractic,dc
Doctor of Dental Surgery,dds
Doctor of Divinity,dd
Doctor of Education,edd
Doctor of Jurisprudence (Juris Doctor),jd
Doctor of Immortality,imd
Doctor of Law and Policy,lpd
Doctor of Law and Policy,dlp
Doctor of Medical Dentistry,dmd
Doctor of Medicine,md
Doctor of Ministry,dmin
Doctor of Metaphysics,drmph
Doctor of Musical Arts,dma
Doctor of Naturopathy,nd
Doctor of Nursing Practice,dnp
Doctor of Optometry,od
Doctor of Osteopathy,do
Doctor of Pharmacy,pharmd
Doctor of Philosophy,phd
Doctor of Philosophy,dphil
Doctor of Philosophy,dph
Doctor of Physical Therapy,dpt
Doctor of Practical Theology,dpt
Doctor of Psychology,psyd
Doctor of Public Health,drph
Doctor of Religious Sciences,drscrel
Doctor of Religious Sciences,drs
Doctor of Science,dsc
Doctor of Science,scd
Doctor of Theology,dth
Doctor of Theology,thd
Doctor of Veterinary Medicine,dvm
