number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_subsample,user_attrs_n_estimators,state
0,0.7864303333333332,2021-08-08 09:04:28.229817,2021-08-08 09:04:37.050164,0 days 00:00:08.820347,0.03853302006588336,0.2852010533035779,0.5421457014713551,1.2117161284102606e-05,0.0008365919696442281,depthwise,0.00040802547232742485,9,4.297145734105279,0.5605555139367955,141,COMPLETE
1,0.786356,2021-08-08 09:04:37.050648,2021-08-08 09:05:36.217555,0 days 00:00:59.166907,0.02909108499638987,0.7442152648152165,0.8710345141561788,0.0071340611738626505,0.00030956057155260625,lossguide,2.6910140038624066e-07,1,19.12871732050973,0.7731435615259112,10000,COMPLETE
2,0.7463863333333333,2021-08-08 09:05:36.218008,2021-08-08 09:05:39.085092,0 days 00:00:02.867084,1.919330625201299e-06,0.8298229560544701,0.6873663612296188,5.719031679302369e-05,0.020410439483280064,lossguide,5.719913687359711e-07,3,0.1032045802882711,0.8263225594373551,215,COMPLETE
3,0.7416173333333335,2021-08-08 09:05:39.085613,2021-08-08 09:05:40.711235,0 days 00:00:01.625622,1.3864492543709237e-05,0.6169661898246033,0.2499881177836456,2.231805875224539e-06,1.679270320397694e-07,depthwise,1.4437983105550908e-07,3,0.9423407925687189,0.3492574561364927,61,COMPLETE
4,0.8057883333333334,2021-08-08 09:05:40.711664,2021-08-08 09:06:53.615356,0 days 00:01:12.903692,2.502280236930019e-07,0.49371855393567166,0.9442329822656863,0.003802337047012165,1.5101360474235307e-08,depthwise,0.0005812160724728575,3,9.562044717322713,0.8685641936915613,10000,COMPLETE
5,0.7923896666666668,2021-08-08 09:06:53.615794,2021-08-08 09:07:02.766939,0 days 00:00:09.151145,0.00028097932906856466,0.6226868965753423,0.8177312058028017,1.8521899243013403e-06,0.0025230493641342317,lossguide,0.00011978758762154909,9,2.2587201359576423,0.4960287638010997,90,COMPLETE
6,0.7946856666666666,2021-08-08 09:07:02.767362,2021-08-08 09:07:04.851175,0 days 00:00:02.083813,8.70580819606994e-06,0.9816780191819208,0.2333280776470427,0.2660273706215206,7.009585466682435e-07,lossguide,1.8306358870922003e-08,6,0.1584039133469062,0.3899052228961793,45,COMPLETE
7,0.8016313333333334,2021-08-08 09:07:04.851600,2021-08-08 09:07:12.613066,0 days 00:00:07.761466,6.22824464511227e-07,0.7065104376756792,0.2832200846135101,0.18623529628111934,3.225672618196522e-05,depthwise,0.0001439364381704727,2,1.6699825339533272,0.28103413175670666,1082,COMPLETE
8,0.7684593333333334,2021-08-08 09:07:12.613483,2021-08-08 09:07:14.998592,0 days 00:00:02.385109,3.317993866916953e-07,0.6421831635778728,0.604471567754675,1.6427269072509148e-07,1.943481679424714e-05,depthwise,0.0063650881820136165,5,0.738360140207248,0.26833252204167357,105,COMPLETE
9,0.8043793333333333,2021-08-08 09:07:14.999021,2021-08-08 09:07:45.729574,0 days 00:00:30.730553,0.45342025572715383,0.2944930603315209,0.3871175481884855,0.03635490463799245,0.006309509863761398,lossguide,2.514076205690335e-06,2,0.05130598110278284,0.42608115747590597,4762,COMPLETE
10,0.8051146666666668,2021-08-08 09:07:45.729997,2021-08-08 09:09:30.987613,0 days 00:01:45.257616,2.759664393098597e-08,0.42611661190151606,0.9244159587770815,0.0009920239617247086,0.43050413026746326,depthwise,0.47506382276526943,5,0.013719085210400364,0.9841026759308327,10000,COMPLETE
11,0.8084433333333334,2021-08-08 09:09:30.988059,2021-08-08 09:11:17.790113,0 days 00:01:46.802054,2.167286711702819e-08,0.4432743574498026,0.9761580950048607,0.0019181657911027156,0.7136084123431771,depthwise,0.6359205646299024,5,0.010624714708441492,0.9527825872974648,10000,COMPLETE
12,0.7804359999999999,2021-08-08 09:11:17.790554,2021-08-08 09:11:21.633180,0 days 00:00:03.842626,1.7835800751941443e-08,0.4571493806041788,0.9938677517390228,0.0006859052105620948,1.387118212072164e-08,depthwise,0.8664624782077365,7,0.010669333812200175,0.9916095326985547,76,COMPLETE
13,0.808623,2021-08-08 09:11:21.633608,2021-08-08 09:12:43.115594,0 days 00:01:21.481986,7.454124166241034e-08,0.48049511280350554,0.7916295167616642,0.003142348475606302,0.8721415198320212,depthwise,0.03007799647083915,4,16.02744161150691,0.7579290295547102,10000,COMPLETE
14,0.7818826666666666,2021-08-08 09:12:43.116033,2021-08-08 09:12:46.271324,0 days 00:00:03.155291,1.3823153403817874e-08,0.4034576496136416,0.7961464455360765,0.00021385906731304105,0.4937442519736061,depthwise,0.029168201284729085,7,0.16389661051860407,0.6908236603089337,62,COMPLETE
15,0.750673,2021-08-08 09:12:46.271762,2021-08-08 09:12:48.221516,0 days 00:00:01.949754,0.00024091821968821758,0.528009933017566,0.7481505466579802,1.723223631782903e-08,0.06144582801846662,depthwise,0.056005870360958304,4,0.03424900486631842,0.6877420352779612,85,COMPLETE
16,0.810829,2021-08-08 09:12:48.221970,2021-08-08 09:13:15.655449,0 days 00:00:27.433479,1.4321180733629383e-07,0.21127704378632728,0.6600648374793657,0.013090922659630778,0.07438570065488057,depthwise,0.013919804446514418,6,6.112108925328705,0.8961116151625323,2222,COMPLETE
17,0.810849,2021-08-08 09:13:15.655889,2021-08-08 09:13:27.070541,0 days 00:00:11.414652,2.9102232304822284e-05,0.20397070301270454,0.4948600946105423,0.039825494084581664,0.059326473388926736,depthwise,0.003310185722844737,7,6.82163891766695,0.6959516666012611,697,COMPLETE
18,0.8110623333333334,2021-08-08 09:13:27.070978,2021-08-08 09:13:41.375034,0 days 00:00:14.304056,0.0013315166436414926,0.23163607032731132,0.46892237699519396,0.03276987542943517,0.041441053870667016,depthwise,0.002216617948671106,8,5.843991930650755,0.6360540456663901,702,COMPLETE
19,0.8090809999999999,2021-08-08 09:13:41.375507,2021-08-08 09:13:48.283646,0 days 00:00:06.908139,0.0030675635020597784,0.2124062303865046,0.4377811783479586,0.06938512617895704,0.00986854623849659,depthwise,1.0149194362563808e-05,8,2.5695313607105827,0.6407372678259208,258,COMPLETE
20,0.7716336666666667,2021-08-08 09:13:48.284091,2021-08-08 09:13:50.278095,0 days 00:00:01.994004,0.0029699291884734444,0.332604252074062,0.4755666750841804,0.97193106799973,3.447757626184185e-06,depthwise,0.0023683238482707985,8,0.4704832123778041,0.5371948919567812,5,COMPLETE
21,0.8111833333333333,2021-08-08 09:13:50.278537,2021-08-08 09:14:07.399231,0 days 00:00:17.120694,1.850634692866807e-05,0.20345855096640936,0.631123390366617,0.02419092753592002,0.07195527330039544,depthwise,0.0037145849434298654,7,6.003561724016292,0.8746353218359434,1051,COMPLETE
22,0.8108023333333333,2021-08-08 09:14:07.399681,2021-08-08 09:14:16.499788,0 days 00:00:09.100107,3.196930405453664e-05,0.20061966230940895,0.5400943159206515,0.04638474182689176,0.06723904564013641,depthwise,0.0027650069964775784,8,6.044552029611359,0.623123775681726,412,COMPLETE
23,0.7982706666666667,2021-08-08 09:14:16.500229,2021-08-08 09:14:18.395899,0 days 00:00:01.895670,0.0013503282606101576,0.3657509117479715,0.39139609958316374,0.5969809309641018,0.0007532722877406691,depthwise,1.4367962412421048e-05,7,9.98834770524219,0.7556828331937896,25,COMPLETE
24,0.8105556666666667,2021-08-08 09:14:18.396349,2021-08-08 09:14:37.718813,0 days 00:00:19.322464,8.272447622315732e-05,0.2808530978219799,0.5306063865232261,0.019116225976488436,0.11595776352357864,depthwise,0.11386520710646283,6,3.7515439564231587,0.6930335109797349,1515,COMPLETE
25,0.8072803333333334,2021-08-08 09:14:37.719266,2021-08-08 09:14:42.309404,0 days 00:00:04.590138,2.6929520838462175e-06,0.25439104632644605,0.32449880135130976,0.12662738730893514,0.0025391224989038982,depthwise,0.0010115554965027505,8,1.1459098237757113,0.829992928312473,121,COMPLETE
26,0.7901866666666667,2021-08-08 09:14:42.309855,2021-08-08 09:14:51.687246,0 days 00:00:09.377391,8.246535517116902e-05,0.3603624553056006,0.6061270848790179,0.0001407966492659127,0.028039028900701098,lossguide,3.442976879347953e-05,9,9.283900992855342,0.4952828433861026,170,COMPLETE
27,0.8110316666666667,2021-08-08 09:14:51.687716,2021-08-08 09:15:19.542046,0 days 00:00:27.854330,0.0004517936725467723,0.33097114510040754,0.4850298458969954,0.012572819300467468,0.19936806593739348,depthwise,0.005458272806771761,7,3.077096284281306,0.5916482869628812,1714,COMPLETE
28,0.77394,2021-08-08 09:15:19.542584,2021-08-08 09:15:22.491225,0 days 00:00:02.948641,0.0006760075326241125,0.3383205895586893,0.6498752595319626,0.00042817865709304835,0.18649475298279986,depthwise,0.00966816918531136,6,3.754417460788527,0.57974688831008,103,COMPLETE
29,0.7893386666666666,2021-08-08 09:15:22.491708,2021-08-08 09:15:27.202627,0 days 00:00:04.710919,0.02375188037228278,0.5517085884532652,0.4108375955877727,3.255993302212259e-05,0.00012104751565019216,depthwise,0.00025554373175988663,9,0.39803313613213465,0.526094748769833,32,COMPLETE
30,0.8098183333333333,2021-08-08 09:15:27.203086,2021-08-08 09:16:05.730062,0 days 00:00:38.526976,0.00977625194423236,0.2751881451883587,0.3321066580737648,0.009459787898457545,0.0029739146977334845,depthwise,0.10475471051334646,8,2.151682871671509,0.20457185464785677,2122,COMPLETE
31,0.8105683333333333,2021-08-08 09:16:05.730587,2021-08-08 09:16:17.222724,0 days 00:00:11.492137,0.16857281259419998,0.24128657764987502,0.4905662977594638,0.0381136566482179,0.01833465971144963,depthwise,0.0014110356227167683,7,5.710421578670255,0.629656922521004,686,COMPLETE
32,0.811872,2021-08-08 09:16:17.223172,2021-08-08 09:17:07.908448,0 days 00:00:50.685276,2.5991821689212e-05,0.31163785822831125,0.48065768642234175,0.007247460573054205,0.0005840357871618257,depthwise,0.006859463950968166,7,14.085103163155985,0.7337281656680057,3547,COMPLETE
33,0.8119776666666668,2021-08-08 09:17:07.908897,2021-08-08 09:18:06.995841,0 days 00:00:59.086944,0.00031073047298653834,0.33185791788213215,0.5715738868368699,0.006531607458080446,0.00043270070590111615,depthwise,0.0005027540855730854,7,17.53035507285759,0.778416312668964,4174,COMPLETE
34,0.812249,2021-08-08 09:18:06.996286,2021-08-08 09:19:26.980778,0 days 00:01:19.984492,4.165210043220445e-06,0.38126258987548034,0.5716710156731624,0.004495806967697509,0.0003989081566559049,lossguide,0.00046127600485898864,8,16.402074429015727,0.7990469359825235,4350,COMPLETE
35,0.8115393333333335,2021-08-08 09:19:26.981478,2021-08-08 09:21:13.226694,0 days 00:01:46.245216,5.686966649974964e-06,0.39422415416546625,0.7137448489956568,0.00328077070367472,0.0002552169479013546,lossguide,0.00029290485839005584,6,14.880480946448351,0.7937211315935446,8937,COMPLETE
36,0.811546,2021-08-08 09:21:13.227154,2021-08-08 09:22:46.461901,0 days 00:01:33.234747,2.3089567194833234e-06,0.3971479850536419,0.7075589304631025,0.0035691865590486128,0.0002533280066034636,lossguide,0.0004943682195859599,6,15.907574460605126,0.7992426108438284,7842,COMPLETE
37,0.7899343333333334,2021-08-08 09:22:46.462367,2021-08-08 09:22:56.965991,0 days 00:00:10.503624,1.1984387310686904e-06,0.569493013575728,0.566729219592022,1.0142171750367624e-05,0.000679088188101276,lossguide,6.16894073389762e-05,9,19.15964664066584,0.827156728325596,190,COMPLETE
38,0.8077353333333334,2021-08-08 09:22:56.966451,2021-08-08 09:25:06.148748,0 days 00:02:09.182297,3.698672989089694e-06,0.501394724492879,0.5650562864915971,0.0009469266522561731,3.819008159892943e-05,lossguide,0.0006430526114572946,6,11.408414747173191,0.7323027695494071,10000,COMPLETE
39,0.809926,2021-08-08 09:25:06.149206,2021-08-08 09:26:22.267754,0 days 00:01:16.118548,1.6221111557674934e-06,0.9631093427008051,0.6986773860243554,0.0062367701377563246,8.689944171041853e-06,lossguide,5.0537481863132804e-05,4,12.881581467426225,0.7997052750527152,8900,COMPLETE
40,0.7666716666666668,2021-08-08 09:26:22.268216,2021-08-08 09:26:23.921894,0 days 00:00:01.653678,0.00013114438338861667,0.8124835656561606,0.8555608363908525,5.364367158848036e-05,0.00011017147906966293,lossguide,0.00019379259397938302,5,9.180402515641944,0.9148903671686266,23,COMPLETE
41,0.8115073333333332,2021-08-08 09:26:23.922342,2021-08-08 09:28:21.462150,0 days 00:01:57.539808,7.562014961563086e-06,0.3950384263083238,0.7136307959200427,0.0026690280451136103,0.0003169374639455064,lossguide,0.0005520762140961264,6,18.215120704233186,0.7971050372752307,10000,COMPLETE
42,0.8110746666666667,2021-08-08 09:28:21.462619,2021-08-08 09:29:32.573462,0 days 00:01:11.110843,6.052688937435772e-06,0.3122888227690323,0.7599224721381703,0.005858434380630613,0.0004467869633295317,lossguide,0.0003447177746401413,5,19.67473430492378,0.8366698750746361,7356,COMPLETE
43,0.79997,2021-08-08 09:29:32.573931,2021-08-08 09:31:50.538142,0 days 00:02:17.964211,8.595866541258567e-07,0.3857136409464356,0.7338380057015965,0.0003657080492192778,0.0014393139640305524,lossguide,1.9116946888701238e-05,6,13.68722189366089,0.7303383111458605,10000,COMPLETE
44,0.8111613333333333,2021-08-08 09:31:50.538611,2021-08-08 09:34:33.506151,0 days 00:02:42.967540,3.363570192485221e-05,0.4322489936053335,0.6814549723514987,0.0015888159333971525,0.00016656608228908455,lossguide,0.00011687924273454014,7,8.383225211361584,0.9267203236675681,10000,COMPLETE
45,0.811219,2021-08-08 09:34:33.506625,2021-08-08 09:35:44.690591,0 days 00:01:11.183966,4.939746261464839e-07,0.6662696085822575,0.6183892231323245,0.004405386665817363,5.630013326591455e-05,lossguide,5.32051689635478e-06,6,12.853978793898245,0.7971504475915078,5723,COMPLETE
46,0.8076103333333333,2021-08-08 09:35:44.691059,2021-08-08 09:37:26.554827,0 days 00:01:41.863768,1.498588507639217e-05,0.45756628487957596,0.5866526570845347,0.001520912019333121,1.2495209994841164e-05,lossguide,6.140237608326786e-07,5,4.425625918188858,0.8808412936330193,10000,COMPLETE
47,0.8100786666666666,2021-08-08 09:37:26.555293,2021-08-08 09:37:31.373040,0 days 00:00:04.817747,1.9167904855380202e-07,0.4120257980345794,0.5230946220098801,0.10150685591104665,0.00022147732865499976,lossguide,0.0009207305504902477,8,14.186660100903993,0.8534630833189187,170,COMPLETE
48,0.7830309999999999,2021-08-08 09:37:31.373503,2021-08-08 09:37:38.176230,0 days 00:00:06.802727,5.326687010843841e-06,0.29184223102082585,0.8699966116558658,0.00047338822957803555,0.0014557181989851243,lossguide,2.4636237290098642e-08,7,1.5554166095752433,0.774835439492817,232,COMPLETE
49,0.6640316666666667,2021-08-08 09:37:38.176709,2021-08-08 09:37:39.437849,0 days 00:00:01.261140,0.00012257289553627943,0.36954280400713335,0.6544047451524415,4.798698569593106e-06,5.0074785524313355e-06,lossguide,0.016419139390468226,1,19.74446541382671,0.7329600096129307,24,COMPLETE
50,0.7773993333333333,2021-08-08 09:37:39.438328,2021-08-08 09:37:43.840501,0 days 00:00:04.402173,5.114926473543378e-05,0.49947860049376813,0.8334934530675475,0.00018878710670178187,6.266889301333024e-05,lossguide,9.505203270918251e-05,6,10.267376522663636,0.6670287545729858,195,COMPLETE
51,0.8111276666666667,2021-08-08 09:37:43.841081,2021-08-08 09:39:45.737154,0 days 00:02:01.896073,9.520137807904747e-06,0.39320780113690484,0.7098134814915961,0.002630595242635336,0.0003554103298987905,lossguide,0.0004905076551637074,6,7.82183380227286,0.8113495703864154,10000,COMPLETE
52,0.810904,2021-08-08 09:39:45.737643,2021-08-08 09:41:23.298458,0 days 00:01:37.560815,2.0268382257249673e-06,0.4673641755624106,0.7832159520802481,0.0038112658096170014,0.004211667899936205,lossguide,0.00027541734807003115,5,15.280673415582973,0.78329651370164,10000,COMPLETE
53,0.8100123333333333,2021-08-08 09:41:23.298935,2021-08-08 09:43:25.925561,0 days 00:02:02.626626,1.3459177345691547e-05,0.42066055638516314,0.7258681663505567,0.001519134924650804,0.001316260953045196,lossguide,0.0015569953551934164,6,15.705813195780278,0.7450168156234848,10000,COMPLETE
