number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_subsample,user_attrs_n_estimators,state
0,0.7780536666666666,2021-08-08 12:07:10.480043,2021-08-08 12:07:13.889226,0 days 00:00:03.409183,1.680239064617117e-06,0.327359758082162,0.5934327393487651,1.4154599921223402e-07,9.730740099283477e-05,depthwise,0.15454717145805877,7,11.24256948861785,0.9892716410293605,64,COMPLETE
1,0.6084546666666667,2021-08-08 12:07:13.889698,2021-08-08 12:07:15.051603,0 days 00:00:01.161905,0.004690810822384656,0.985203189219851,0.5542247770916471,0.000531879103086431,6.610704863720606e-05,lossguide,0.01724129955450191,1,2.2212191772454917,0.8878890765482617,1,COMPLETE
2,0.8066103333333333,2021-08-08 12:07:15.052054,2021-08-08 12:09:05.431430,0 days 00:01:50.379376,0.38577285076647755,0.9875299504092396,0.6288728609493557,0.0011191126696196484,0.024999070184496507,lossguide,6.194175960715783e-07,5,0.5208718600632732,0.5108588251712265,10000,COMPLETE
3,0.8093199999999999,2021-08-08 12:09:05.431884,2021-08-08 12:10:26.554283,0 days 00:01:21.122399,5.3416863536148e-08,0.29393733398633426,0.5887369926744892,0.0060430541739457415,1.3351157586627409e-05,lossguide,1.6500026231344313e-08,4,5.334971619545344,0.7660606358874023,10000,COMPLETE
4,0.7898369999999999,2021-08-08 12:10:26.554730,2021-08-08 12:10:28.915370,0 days 00:00:02.360640,8.943637724886205e-06,0.8247183083094372,0.7349729497935025,0.6246494113754927,0.05185754908753009,lossguide,0.2166946156528046,8,2.265796840291248,0.6800501243613446,9,COMPLETE
5,0.7739410000000001,2021-08-08 12:10:28.915802,2021-08-08 12:10:33.225765,0 days 00:00:04.309963,3.9423202109392765e-05,0.8056942311091284,0.45654576116514206,1.876828765304253e-08,0.007764236839403408,lossguide,2.1927419300086453e-06,6,1.3896104900310342,0.8225201906378923,188,COMPLETE
6,0.7510323333333333,2021-08-08 12:10:33.226212,2021-08-08 12:10:36.109244,0 days 00:00:02.883032,1.2250270209533449e-08,0.5763320502839038,0.39586167345690193,1.2677475798075261e-05,1.5194163309193564e-08,depthwise,0.12829012105104365,4,0.19626620160492075,0.9494720105632093,190,COMPLETE
7,0.8080303333333333,2021-08-08 12:10:36.109677,2021-08-08 12:10:41.639555,0 days 00:00:05.529878,8.290272558816147e-06,0.8510616468276802,0.39103643922343406,0.07518008720834213,0.0023924666225655206,lossguide,0.07423064555002751,5,2.514997102710458,0.5961702272626508,430,COMPLETE
8,0.8085986666666667,2021-08-08 12:10:41.639988,2021-08-08 12:11:39.916968,0 days 00:00:58.276980,0.002601309274298936,0.5074950535840956,0.8564087979388462,0.004914123531380625,2.5118466254579647e-06,lossguide,0.011964128391626782,5,0.2718084577738576,0.9538001100736133,5341,COMPLETE
9,0.8047583333333334,2021-08-08 12:11:39.917412,2021-08-08 12:11:45.337459,0 days 00:00:05.420047,0.00935891581784759,0.5699010821625445,0.49613645916818094,0.08670510166151392,0.0025488749663136003,depthwise,0.029577622949151085,4,0.02475060763127202,0.35791162354775957,537,COMPLETE
