number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_subsample,user_attrs_n_estimators,state
0,0.7582813333333333,2021-08-08 14:07:38.564325,2021-08-08 14:07:40.790655,0 days 00:00:02.226330,2.0172262220429848e-05,0.7674323791743916,0.22640137642449487,1.1300822881667438e-06,0.4366772160870779,lossguide,4.7616232921878096e-07,5,0.5367484176770198,0.5695836482244384,55,COMPLETE
1,0.8085243333333333,2021-08-08 14:07:40.791130,2021-08-08 14:09:18.766712,0 days 00:01:37.975582,2.572361518554019e-07,0.4484631485862419,0.8311450096356157,0.0029390462460210064,0.9521033502563273,depthwise,6.984471794542761e-05,9,0.3244824429075486,0.4994809361782873,2589,COMPLETE
2,0.7662843333333335,2021-08-08 14:09:18.767220,2021-08-08 14:09:20.340882,0 days 00:00:01.573662,1.0681440572720312e-06,0.9920776554722044,0.7602261215241775,0.0004874574739606778,0.0033215587986995623,depthwise,0.00378988970786156,5,3.5804825552969555,0.9135703807178217,13,COMPLETE
3,0.7902790000000001,2021-08-08 14:09:20.341314,2021-08-08 14:09:22.575407,0 days 00:00:02.234093,0.007746259865137908,0.25865448325445195,0.9014090379146786,0.35783234652407114,2.2624013008380097e-06,lossguide,0.00020952335188944085,8,0.8951082571021848,0.3344401137144736,12,COMPLETE
4,0.780389,2021-08-08 14:09:22.575848,2021-08-08 14:09:25.803503,0 days 00:00:03.227655,0.0029232120900746466,0.5957394387509662,0.9628249541514675,2.0641155633829345e-05,1.2403575214718736e-06,depthwise,0.007371918941126608,7,0.020047056411475053,0.640329802904669,53,COMPLETE
5,0.7772596666666667,2021-08-08 14:09:25.803932,2021-08-08 14:09:33.169106,0 days 00:00:07.365174,1.9435939572268243e-07,0.5478908026481955,0.8325415857419047,1.223304427149685e-08,0.29950844644065017,depthwise,7.166427274174014e-07,6,8.039693192735157,0.2338513066955267,404,COMPLETE
6,0.809468,2021-08-08 14:09:33.169546,2021-08-08 14:10:52.126322,0 days 00:01:18.956776,1.8385541137326172e-08,0.9799460200680201,0.5382279470730627,0.005089451808743311,4.355280406973332e-06,depthwise,0.00021364564849955854,4,7.42164274964453,0.4915913970627565,9463,COMPLETE
7,0.657901,2021-08-08 14:10:52.126774,2021-08-08 14:10:54.629357,0 days 00:00:02.502583,0.04979092285587831,0.6953247002261995,0.3862875886696737,2.2761428792833707e-07,0.0003213171993475864,lossguide,0.861340207023308,1,0.01521679263920707,0.43469047279373,259,COMPLETE
8,0.8068043333333333,2021-08-08 14:10:54.629775,2021-08-08 14:10:59.603259,0 days 00:00:04.973484,0.11702796856581109,0.4963572068031888,0.8720964737730885,0.09711321207691327,0.03808587432163697,lossguide,0.8961143757199465,4,3.1240516000913416,0.3723046658378758,461,COMPLETE
9,0.7859789999999999,2021-08-08 14:10:59.603689,2021-08-08 14:11:01.904755,0 days 00:00:02.301066,3.2480260199785863e-08,0.5158188046187522,0.26578809638343337,0.3557411404876349,0.3066774974960617,depthwise,9.471986807868734e-08,1,0.013478901950593416,0.26302230595673254,217,COMPLETE
10,0.808675,2021-08-08 14:11:01.905190,2021-08-08 14:12:10.157839,0 days 00:01:08.252649,0.00011142511823317391,0.9902085814003532,0.5800245277771396,0.009303893731248453,1.7495142507613942e-08,depthwise,2.010231939022479e-05,3,19.098690982267662,0.7455916101254008,9397,COMPLETE
11,0.8075413333333333,2021-08-08 14:12:10.158284,2021-08-08 14:13:22.624528,0 days 00:01:12.466244,6.86656008616079e-05,0.98913201619493,0.5958765499018679,0.005842624525964581,2.9618989437436724e-08,depthwise,2.9193189601884526e-05,3,17.623678567572995,0.7291020206873849,10000,COMPLETE
12,0.8086673333333333,2021-08-08 14:13:22.624995,2021-08-08 14:14:20.636438,0 days 00:00:58.011443,6.9896233586857615e-06,0.8304664747625974,0.5518193070550009,0.01162310409799621,1.0526225142501508e-08,depthwise,7.807829100014155e-06,3,18.39833647785737,0.7958092858253484,7985,COMPLETE
