number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_subsample,user_attrs_n_estimators,state
0,0.7779916666666665,2021-08-08 11:05:23.454084,2021-08-08 11:05:27.338358,0 days 00:00:03.884274,0.32684453829739213,0.2522050618951238,0.4708696805205792,2.745282244373209e-06,7.482762570478234e-07,lossguide,0.07293901370750062,8,3.0063441411059197,0.62516570664448,53,COMPLETE
1,0.6401113333333334,2021-08-08 11:05:27.338834,2021-08-08 11:05:28.968262,0 days 00:00:01.629428,2.323219272176387e-08,0.7347506245674513,0.6308755878129821,3.189112238775314e-08,0.0002712988739544757,lossguide,0.2630087851239655,1,0.1343830513158319,0.5021818388281567,89,COMPLETE
2,0.6289123333333334,2021-08-08 11:05:28.968711,2021-08-08 11:05:30.179841,0 days 00:00:01.211130,7.060100224378338e-06,0.9641075842973537,0.8990677905860271,1.6145681804545183e-05,0.10044156036182154,depthwise,0.11766752711368961,1,0.013897373757967397,0.31630220841132495,11,COMPLETE
3,0.7739250000000001,2021-08-08 11:05:30.180293,2021-08-08 11:05:33.553908,0 days 00:00:03.373615,6.837726624100764e-08,0.2610444094215252,0.5220796295326054,3.1809231019746204e-07,0.1512335575121876,lossguide,0.004705679557264688,7,2.6902547647759367,0.8634360657867288,74,COMPLETE
4,0.747046,2021-08-08 11:05:33.554374,2021-08-08 11:05:35.559563,0 days 00:00:02.005189,0.024039616417989032,0.8763092974768858,0.9213727604940416,4.048363232424244e-05,2.91978101251816e-06,depthwise,7.535742282070074e-07,3,0.015006648503504406,0.5188257419631357,110,COMPLETE
5,0.8082763333333333,2021-08-08 11:05:35.560008,2021-08-08 11:08:41.193572,0 days 00:03:05.633564,0.003390532289853919,0.24128853501344044,0.8194640461472251,0.000821522332992489,0.09164284771370318,depthwise,2.409430410467597e-05,7,0.016173803267350486,0.6006439412537539,10000,COMPLETE
6,0.8097216666666666,2021-08-08 11:08:41.194012,2021-08-08 11:09:06.380805,0 days 00:00:25.186793,0.051313233960398726,0.6004853633525205,0.4164063553809294,0.012608800791757248,1.1164057143371087e-06,lossguide,4.33600480619968e-07,8,0.864278481949805,0.45453738202953886,920,COMPLETE
7,0.7689893333333334,2021-08-08 11:09:06.381213,2021-08-08 11:09:08.983999,0 days 00:00:02.602786,7.107011013525462e-05,0.233232272833967,0.6202551655822155,4.123817361599269e-06,0.0004924186286739707,lossguide,0.00026925841265162454,6,1.277647393755622,0.4845692142015362,80,COMPLETE
8,0.8053783333333334,2021-08-08 11:09:08.984465,2021-08-08 11:09:12.305547,0 days 00:00:03.321082,4.888263152456317e-06,0.20824807197831144,0.6624153055979887,0.1796168609898658,6.074083062165728e-06,depthwise,0.011076292358592742,5,1.8749192824057528,0.4952898664430685,220,COMPLETE
9,0.766153,2021-08-08 11:09:12.305954,2021-08-08 11:09:14.286982,0 days 00:00:01.981028,0.3584967677137638,0.6824853649939715,0.26026355864995754,9.469071680341032e-07,1.7094238501273587e-05,lossguide,0.16139030514104305,7,0.01839718761008768,0.2749588811693892,11,COMPLETE
