number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_subsample,user_attrs_n_estimators,state
0,0.7483879999999999,2021-08-15 20:01:24.005285,2021-08-15 20:01:25.885524,0 days 00:00:01.880239,2.5176589668473013e-07,0.8239797570766343,0.25797797958882324,1.1877717275817536e-05,0.020303993397830844,depthwise,2.8429965011145407e-05,3,0.2336808884824901,0.3988864887243686,82,COMPLETE
1,0.7574063333333334,2021-08-15 20:01:25.885958,2021-08-15 20:01:28.559459,0 days 00:00:02.673501,0.00019481365823512768,0.23459074697231597,0.31081600585191266,3.511296432232145e-07,0.0407155508096707,lossguide,3.287126761619492e-08,5,0.1512065425276328,0.8689819531275036,151,COMPLETE
2,0.7696456666666666,2021-08-15 20:01:28.559883,2021-08-15 20:01:36.303499,0 days 00:00:07.743616,0.00046300961178889744,0.20778121755543896,0.6803783274629095,2.5075087912052024e-05,0.0006372141922034504,lossguide,4.521385897543096e-08,9,1.9092998999240558,0.8335082023560099,145,COMPLETE
3,0.6965123333333333,2021-08-15 20:01:36.303943,2021-08-15 20:01:37.828381,0 days 00:00:01.524438,0.00630208601588344,0.523865221101504,0.8025716642164633,3.9124594102522477e-08,1.7445605740395534e-07,lossguide,0.002412017436160065,1,0.16128007341964223,0.8883912230832651,90,COMPLETE
4,0.7643933333333334,2021-08-15 20:01:37.828803,2021-08-15 20:01:42.196042,0 days 00:00:04.367239,2.954879141177279e-06,0.8778935504274947,0.6837284874783978,2.9619970867179053e-06,0.00633555599832533,depthwise,0.009513736084489985,7,0.18987125951531802,0.8265022468381409,118,COMPLETE
5,0.747462,2021-08-15 20:01:42.196454,2021-08-15 20:01:43.694664,0 days 00:00:01.498210,0.00015010767446716397,0.20418019983320246,0.429553220166995,3.89117979479007e-06,1.182931379140747e-08,lossguide,0.0011470769267905982,4,1.6551592660664667,0.4240533360107832,45,COMPLETE
6,0.7335606666666666,2021-08-15 20:01:43.695093,2021-08-15 20:01:45.053424,0 days 00:00:01.358331,1.7233718723302013e-05,0.376800311925328,0.30130610777698597,0.0023660388714417018,0.024826659561800885,depthwise,2.6063802148087476e-06,2,10.961611875415421,0.48148671519107583,47,COMPLETE
7,0.7627363333333333,2021-08-15 20:01:45.053841,2021-08-15 20:01:50.982098,0 days 00:00:05.928257,0.8437446684638118,0.700091773782211,0.34127731574522296,1.1800503691933464e-08,0.003687795185352957,lossguide,0.011523076584627114,7,0.01497450651396922,0.4552092859537007,246,COMPLETE
8,0.7184093333333333,2021-08-15 20:01:50.982553,2021-08-15 20:01:52.236011,0 days 00:00:01.253458,0.0008244447603244675,0.6770987546828544,0.4469462091023442,2.8276551922782043e-06,0.5132094195168146,lossguide,0.026451525914413875,1,0.011597995529110052,0.6221532471416173,46,COMPLETE
9,0.7541446666666666,2021-08-15 20:01:52.236424,2021-08-15 20:01:57.808360,0 days 00:00:05.571936,1.9697224200155265e-06,0.6975992008323258,0.7291082379445066,2.7284144824480995e-05,8.96730638910596e-06,lossguide,0.006556369950361289,5,0.015529434369080442,0.3525031675002224,407,COMPLETE
10,0.7738216666666666,2021-08-15 20:01:57.808792,2021-08-15 20:02:00.741151,0 days 00:00:02.932359,0.03493416204530092,0.46480991317524334,0.9833221311935052,0.407374671661477,7.490562536933695e-05,depthwise,1.3053590969639673e-08,9,2.169303879606867,0.9967978921304324,19,COMPLETE
11,0.7817886666666668,2021-08-15 20:02:00.741577,2021-08-15 20:02:07.936849,0 days 00:00:07.195272,0.05316051405442071,0.4202496977070461,0.9800198944883062,0.06469307144971455,9.050601020601562e-05,depthwise,1.5808781001514243e-08,9,2.070406741555258,0.998772439332547,133,COMPLETE
