number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_subsample,user_attrs_n_estimators,state
0,0.7539836666666667,2021-08-08 05:01:00.328817,2021-08-08 05:01:02.696318,0 days 00:00:02.367501,0.00016467969792235897,0.38233496120786825,0.7743465559486333,1.9318347531365926e-05,2.32462679539662e-06,depthwise,0.003695557866695648,4,0.5875744701487484,0.9884948162436398,86,COMPLETE
1,0.7424886666666666,2021-08-08 05:01:02.696800,2021-08-08 05:01:06.019228,0 days 00:00:03.322428,1.1477589910069253e-05,0.973265319466512,0.34156679739801526,2.233200307953164e-06,0.04873195613935801,lossguide,0.003684207781135327,3,0.087788998408051,0.34123167728590087,267,COMPLETE
2,0.7602733333333332,2021-08-08 05:01:06.019662,2021-08-08 05:01:08.832763,0 days 00:00:02.813101,0.07742687687574554,0.6926837560760594,0.25983091259519364,4.7218894374922986e-05,4.927093135310824e-07,depthwise,0.013513187899097575,5,0.7629503113011172,0.7381385489522483,126,COMPLETE
3,0.805816,2021-08-08 05:01:08.833186,2021-08-08 05:01:10.998925,0 days 00:00:02.165739,0.00010205690426663367,0.6745474911471059,0.27275163228227584,0.23937902270913355,0.0006867286675734445,depthwise,2.6248422397626533e-05,4,0.018903489573269396,0.8455543399264214,102,COMPLETE
4,0.7745110000000001,2021-08-08 05:01:10.999383,2021-08-08 05:01:15.880685,0 days 00:00:04.881302,1.9858450230000662e-08,0.3738794740531976,0.7129626788751648,1.4174813941365027e-08,0.03031352401813518,lossguide,1.2383832792165703e-06,6,3.58506316085745,0.7955617896265721,217,COMPLETE
5,0.7912613333333333,2021-08-08 05:01:15.881169,2021-08-08 05:01:25.070267,0 days 00:00:09.189098,0.00011361580097908819,0.4341587399618881,0.8635683450220848,2.146946958732157e-06,5.100348447132272e-07,lossguide,2.4001099096596243e-06,9,15.305224019047483,0.992265078992526,116,COMPLETE
6,0.745018,2021-08-08 05:01:25.070709,2021-08-08 05:01:27.084491,0 days 00:00:02.013782,2.5970533712083367e-06,0.22139170201544572,0.44511951083901763,9.376030996373244e-05,2.151019540171482e-07,lossguide,4.838813502250759e-07,3,12.997838091056671,0.46765343008953847,98,COMPLETE
7,0.8087216666666667,2021-08-08 05:01:27.085020,2021-08-08 05:02:47.036739,0 days 00:01:19.951719,0.0036990853208059417,0.7797514884367496,0.7931031978811462,0.004747267138118343,1.8474315429681303e-07,depthwise,4.306780844455094e-06,3,0.5340945442901485,0.934174505191548,10000,COMPLETE
8,0.8117153333333333,2021-08-08 05:02:47.037217,2021-08-08 05:02:56.545288,0 days 00:00:09.508071,0.8813147777129872,0.755340042655894,0.2108008745301845,0.05154678192515826,0.0021420313750117976,depthwise,1.257125039712425e-05,7,0.03778125129248415,0.8756665064006668,415,COMPLETE
9,0.7502416666666666,2021-08-08 05:02:56.545726,2021-08-08 05:02:58.487977,0 days 00:00:01.942251,5.2478584968497864e-05,0.39826837274922333,0.3450469423482988,8.453560999714113e-05,0.8045024519690034,lossguide,0.0010389422324814349,4,0.025808904956317925,0.9516761418575355,61,COMPLETE
