number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_subsample,user_attrs_n_estimators,state
0,0.6948153333333335,2021-08-15 03:24:01.770316,2021-08-15 03:24:03.357929,0 days 00:00:01.587613,2.1044355705501057e-06,0.8681734573855875,0.9702377149198946,2.2892010549902927e-06,4.815456840098732e-06,lossguide,0.0012842655257084051,2,0.582553887104571,0.3708985356567853,28,COMPLETE
1,0.794775,2021-08-15 03:24:03.358364,2021-08-15 03:24:05.991631,0 days 00:00:02.633267,0.001083821315872397,0.23236530200676225,0.823890922843965,0.2973832929462468,0.1453734166730835,lossguide,0.0032558941643625267,8,0.05858644650099692,0.5082073243953316,21,COMPLETE
2,0.8010996666666667,2021-08-15 03:24:05.992039,2021-08-15 03:24:08.122049,0 days 00:00:02.130010,9.077089805587183e-07,0.46866108104138465,0.8601418815489257,0.3871608933368714,1.3386309756929192e-07,lossguide,3.876699020774861e-07,8,5.898256778714787,0.4312261592113205,17,COMPLETE
3,0.7948453333333333,2021-08-15 03:24:08.122468,2021-08-15 03:24:28.331460,0 days 00:00:20.208992,0.3099995861123054,0.9788856027129855,0.7473783098315758,2.043637883389312e-07,0.0013665560879457521,depthwise,3.207935807684083e-06,9,0.06487135890086558,0.39651547383677477,304,COMPLETE
4,0.8124083333333333,2021-08-15 03:24:28.331881,2021-08-15 03:25:17.046330,0 days 00:00:48.714449,0.005026551834129627,0.7880982317954224,0.8002239092644972,0.0048572112500176,1.2828789817789544e-07,lossguide,0.00033854695668190395,6,2.4985478959541423,0.25776643781486963,3555,COMPLETE
5,0.7599736666666667,2021-08-15 03:25:17.046744,2021-08-15 03:25:19.310339,0 days 00:00:02.263595,0.0004453696959357518,0.8057040027315521,0.9837051127954473,9.992098825574791e-05,1.073666040739921e-06,depthwise,0.4514380618560858,4,0.2537596150020229,0.6705420813627478,116,COMPLETE
6,0.747124,2021-08-15 03:25:19.310745,2021-08-15 03:25:20.778884,0 days 00:00:01.468139,0.0008254779888450099,0.994020581266488,0.5434015346758378,0.0010840711326649494,0.4375780016300063,depthwise,0.00016455793993024113,3,4.075867734329798,0.7003938728208765,37,COMPLETE
7,0.755222,2021-08-15 03:25:20.779289,2021-08-15 03:25:22.720263,0 days 00:00:01.940974,1.799292720324779e-05,0.35840994874519655,0.2562397086202604,0.0003666278157022909,0.0020617605344494796,depthwise,9.311254100485466e-08,5,0.4312735604254863,0.9070321785884217,58,COMPLETE
8,0.671684,2021-08-15 03:25:22.720674,2021-08-15 03:25:24.896950,0 days 00:00:02.176276,3.740091431579298e-06,0.8819663775351834,0.23340559989062762,3.0861975059475627e-05,2.6663146464724367e-07,lossguide,0.00015138037983003838,1,1.6405705958803665,0.6032942824754186,191,COMPLETE
9,0.7697136666666667,2021-08-15 03:25:24.897354,2021-08-15 03:25:27.092696,0 days 00:00:02.195342,0.736180118361038,0.9331972703817131,0.5886659617656504,4.445673510800104e-08,1.1354993521570991e-07,lossguide,0.005802051074551298,5,3.959836017728884,0.47460300918588844,74,COMPLETE
10,0.8114796666666667,2021-08-15 03:25:27.093109,2021-08-15 03:25:53.797592,0 days 00:00:26.704483,0.02718586801470427,0.6885013842799464,0.4527586393341159,0.010363832828625416,1.3987089921779658e-08,lossguide,0.603007089817106,7,0.010137647154224445,0.22635777532412027,1446,COMPLETE
