number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_subsample,user_attrs_n_estimators,state
0,0.8104236666666668,2021-08-15 18:59:28.771894,2021-08-15 19:01:15.971926,0 days 00:01:47.200032,5.245067284292755e-07,0.3101508282905714,0.8552610585054197,0.0015717105762930892,1.4051804997236836e-06,depthwise,1.918256639782924e-06,5,14.985544953661675,0.6276447411898405,10000,COMPLETE
1,0.6433466666666666,2021-08-15 19:01:15.972403,2021-08-15 19:01:17.909470,0 days 00:00:01.937067,0.07903964989861849,0.9721360291707286,0.7180252846207658,0.0019592131605947667,4.4616339223659546e-08,depthwise,1.1692994783837606e-08,1,6.545543930036399,0.44761073009078534,125,COMPLETE
2,0.8020686666666667,2021-08-15 19:01:17.909900,2021-08-15 19:01:19.841654,0 days 00:00:01.931754,9.02992373454873e-06,0.4896952733075479,0.3075805788514995,0.4228659704069859,0.0008813396475082838,depthwise,2.417603029723942e-05,6,0.4160979285297538,0.9936696113663277,30,COMPLETE
3,0.7826996666666668,2021-08-15 19:01:19.842082,2021-08-15 19:01:22.953547,0 days 00:00:03.111465,3.7740205107650395e-05,0.35714298174051673,0.765990370793515,0.00023900027711729716,0.009337762339824331,lossguide,1.553014121828355e-07,7,12.19153185314416,0.6573561144692698,53,COMPLETE
4,0.7876666666666666,2021-08-15 19:01:22.954009,2021-08-15 19:01:33.671992,0 days 00:00:10.717983,4.309775405330366e-06,0.7904584751084365,0.46835982449498315,1.4934101465508095e-08,0.949070670166211,lossguide,0.0007369358815999715,8,0.07630064806360225,0.2298554097858454,236,COMPLETE
5,0.8069299999999999,2021-08-15 19:01:33.672389,2021-08-15 19:02:15.851404,0 days 00:00:42.179015,4.443364368578757e-05,0.6150287920834715,0.5577960433117433,0.028214720712902857,1.207700147482959e-06,depthwise,6.385925989090009e-07,2,0.018370335113421968,0.881786073260628,5797,COMPLETE
6,0.8109259999999999,2021-08-15 19:02:15.851832,2021-08-15 19:03:07.020909,0 days 00:00:51.169077,8.382824334062592e-06,0.6004268087850522,0.5343269858826794,0.008850019503526502,0.014487982049199743,depthwise,8.133602665041407e-08,9,0.029215108936791072,0.908215492863772,909,COMPLETE
7,0.7052856666666667,2021-08-15 19:03:07.021320,2021-08-15 19:03:08.674580,0 days 00:00:01.653260,1.5273873645882213e-06,0.2217855154080997,0.8698592708653579,4.55646554786114e-06,0.01795117378074511,lossguide,0.0007086330361240398,1,0.049620630433063105,0.41711928447572116,84,COMPLETE
8,0.7897473333333332,2021-08-15 19:03:08.674989,2021-08-15 19:03:43.896582,0 days 00:00:35.221593,7.710758139920401e-06,0.4767369313235241,0.35447712661225284,0.017425958032482092,0.08746813895381388,depthwise,4.49522916293507e-05,1,10.99601617635588,0.5290794049614502,5478,COMPLETE
9,0.6084546666666667,2021-08-15 19:03:43.897016,2021-08-15 19:03:45.073019,0 days 00:00:01.176003,1.8828105031681066e-08,0.9183718891787653,0.6646776524939957,3.8638967605081134e-05,0.12206714959899523,depthwise,2.1055229947341046e-05,1,3.487497034709041,0.8156461205396857,1,COMPLETE
