number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_subsample,user_attrs_n_estimators,state
0,0.7281686666666666,2021-08-09 04:16:52.728574,2021-08-09 04:16:56.322916,0 days 00:00:03.594342,0.009649160131594546,0.6309044533230426,0.7648231862743935,5.8188176671830336e-05,0.8213551618883401,depthwise,0.0015040495865755702,2,4.20556102065926,0.743730578628657,290,COMPLETE
1,0.7725026666666667,2021-08-09 04:16:56.323389,2021-08-09 04:16:59.996450,0 days 00:00:03.673061,5.3642394694682535e-05,0.9311936587670118,0.2566901602789508,8.324263855207259e-08,0.03328108365865132,lossguide,9.043978120025427e-06,7,1.6490444581281234,0.8808794361143211,76,COMPLETE
2,0.7481023333333333,2021-08-09 04:16:59.996861,2021-08-09 04:17:01.516709,0 days 00:00:01.519848,8.969017549786302e-08,0.5632461471616392,0.20424665527842256,0.0003832528472904579,6.56985013889926e-07,lossguide,0.005069336261939076,3,0.032596075821583935,0.5680146375338255,37,COMPLETE
3,0.8100886666666667,2021-08-09 04:17:01.517140,2021-08-09 04:18:33.520314,0 days 00:01:32.003174,0.005570762712968397,0.7049227194442773,0.4218522464999446,0.0026571724640929596,7.227391667908647e-05,lossguide,0.00017755834401194352,4,0.028257285986783266,0.8310393008166916,10000,COMPLETE
4,0.811978,2021-08-09 04:18:33.520758,2021-08-09 04:19:43.978582,0 days 00:01:10.457824,0.016505759591318652,0.5225111074321713,0.762674189114656,0.004377915058138586,0.00018039034016228362,lossguide,0.0025570597249236836,5,0.19915579819635595,0.7471086779855605,5980,COMPLETE
5,0.7439803333333334,2021-08-09 04:19:43.979132,2021-08-09 04:19:45.620361,0 days 00:00:01.641229,0.0005184064186825403,0.3399955704519183,0.6646684518890874,3.560475344048909e-07,0.2293219116486416,lossguide,0.19977959853494914,3,8.442831769033708,0.22403924122798724,54,COMPLETE
6,0.7632296666666667,2021-08-09 04:19:45.620787,2021-08-09 04:19:48.775725,0 days 00:00:03.154938,0.00026165568195910113,0.20907807842999981,0.37930009410964916,3.822577916688668e-06,1.2751571391545643e-05,depthwise,9.96419753924115e-07,6,0.1837621579300069,0.548678083549458,111,COMPLETE
7,0.8112940000000001,2021-08-09 04:19:48.776151,2021-08-09 04:20:00.629061,0 days 00:00:11.852910,0.04082057493864926,0.9121304243616668,0.4150332976087155,0.026834969609751905,0.1115845345285381,lossguide,4.203783421200529e-08,7,0.06849193486702997,0.5839487679999193,456,COMPLETE
8,0.7579393333333333,2021-08-09 04:20:00.629505,2021-08-09 04:20:02.177974,0 days 00:00:01.548469,1.4682389378329089e-07,0.48718258510180545,0.7285016712925061,1.5200801232237525e-05,2.1322916891346756e-05,depthwise,0.0006998015459041404,4,0.7932396406479811,0.6755938254712894,25,COMPLETE
9,0.8091636666666666,2021-08-09 04:20:02.178397,2021-08-09 04:20:24.124170,0 days 00:00:21.945773,0.0031149987938456558,0.4549926884227926,0.23894253613624486,0.03321265139628493,3.0541866473844456e-07,depthwise,5.885103482469452e-08,3,0.017302179016548448,0.6259125770895713,2724,COMPLETE
10,0.7848946666666666,2021-08-09 04:20:24.124595,2021-08-09 04:20:27.880817,0 days 00:00:03.756222,0.18001349530650274,0.7894776931101407,0.9420644319941531,0.8685512484321557,0.0024211509386988794,lossguide,0.974860786511708,9,0.22940609251418376,0.9999457195606787,5,COMPLETE
11,0.8119776666666666,2021-08-09 04:20:27.881245,2021-08-09 04:20:44.583525,0 days 00:00:16.702280,0.6163812951547554,0.9913815575479888,0.5469942254539814,0.022330056354153,0.003246964898299392,lossguide,1.0944182925515259e-08,8,0.10278273267837576,0.4401456109939581,435,COMPLETE
12,0.7675986666666667,2021-08-09 04:20:44.583946,2021-08-09 04:20:47.082813,0 days 00:00:02.498867,0.44171877450659297,0.9964370359629208,0.8660826338003353,0.6912838193545688,0.0019860173693443716,lossguide,0.03040135830678297,9,0.10666809148669328,0.41358288030756585,4,COMPLETE
13,0.8128943333333334,2021-08-09 04:20:47.083244,2021-08-09 04:21:55.576368,0 days 00:01:08.493124,0.6810073777875691,0.8209756426356503,0.5430220225440093,0.004214786349914508,0.001284984580753881,lossguide,8.957394646556802e-06,6,0.5331373112451191,0.4115746979405803,4422,COMPLETE
14,0.8093826666666667,2021-08-09 04:21:55.576807,2021-08-09 04:23:50.806619,0 days 00:01:55.229812,4.520041123928207e-06,0.7904697043811264,0.5779547164443039,0.0011489104972613358,0.00032401700625194206,lossguide,1.2198030633221714e-05,5,0.690158264793287,0.3102540821189297,10000,COMPLETE
15,0.8127706666666666,2021-08-09 04:23:50.807065,2021-08-09 04:25:01.310096,0 days 00:01:10.503031,0.06188551168845892,0.7678031557009659,0.8041879938554426,0.0042081230836880645,6.392652590379021e-06,lossguide,2.333597265215224e-05,6,1.3957324181714643,0.44370852150148776,4433,COMPLETE
16,0.7952066666666666,2021-08-09 04:25:01.310527,2021-08-09 04:28:00.791083,0 days 00:02:59.480556,0.9870341156294148,0.8062177538889519,0.8794969284089482,0.0001923763897415803,1.1245602583013733e-08,lossguide,1.293013329307808e-05,6,2.194119661187534,0.44532818157637044,10000,COMPLETE
17,0.789699,2021-08-09 04:28:00.791587,2021-08-09 04:28:05.809764,0 days 00:00:05.018177,9.203159465613203e-06,0.6493156094424951,0.5320420584291851,0.10735673825793211,1.9963831301635854e-06,lossguide,1.163041951585914e-06,1,1.4806057493631946,0.20254258847489526,640,COMPLETE
18,0.7853956666666667,2021-08-09 04:28:05.810207,2021-08-09 04:28:12.762758,0 days 00:00:06.952551,0.06217695934454865,0.7208966289641822,0.6847277894631645,2.715062988608767e-06,1.4047087272787833e-07,depthwise,1.1832404799410673e-06,7,9.593833724424703,0.3296642012359036,222,COMPLETE
19,0.8143133333333333,2021-08-09 04:28:12.763189,2021-08-09 04:29:18.794180,0 days 00:01:06.030991,0.0014398609299645932,0.8583151689398335,0.8383307266598753,0.005088748792080243,6.152495198884535e-06,lossguide,8.138775402834506e-05,6,19.432336678285015,0.48831208382221253,4642,COMPLETE
20,0.7856213333333333,2021-08-09 04:29:18.794619,2021-08-09 04:29:38.707764,0 days 00:00:19.913145,1.1580042691204857e-06,0.8542779118539153,0.9723132522741085,1.7132068650764044e-08,4.811656274070255e-08,lossguide,0.00014424928355221791,8,4.632500728641673,0.4949512957291395,400,COMPLETE
21,0.8145413333333332,2021-08-09 04:29:38.708189,2021-08-09 04:31:00.868127,0 days 00:01:22.159938,0.07845841687952804,0.8672826935403937,0.8318488292845798,0.00431124227254717,5.258401072131559e-06,lossguide,4.152567616258735e-05,6,18.122339113009534,0.35910137797080965,5938,COMPLETE
22,0.809692,2021-08-09 04:31:00.868566,2021-08-09 04:33:23.482158,0 days 00:02:22.613592,1.0754132193398998e-08,0.8860439055183656,0.6360436335906723,0.0007408514981249553,3.209496285178461e-06,lossguide,0.00010261082246602486,6,17.300608135959322,0.34413605309376905,10000,COMPLETE
23,0.8090416666666668,2021-08-09 04:33:23.482610,2021-08-09 04:33:27.437692,0 days 00:00:03.955082,0.001436710776523357,0.8734663258231613,0.4879717137540621,0.15883267302596948,4.867147790467492e-05,lossguide,3.496075437491847e-06,5,16.855637957874485,0.28696608692121023,253,COMPLETE
24,0.789761,2021-08-09 04:33:27.438130,2021-08-09 04:33:37.714972,0 days 00:00:10.276842,0.1271470594478115,0.7013829826320905,0.8525414512079069,6.220863587379912e-05,0.00026570418203222514,lossguide,2.3568167615498516e-07,8,4.899996890852648,0.38938101671237396,197,COMPLETE
25,0.813349,2021-08-09 04:33:37.715414,2021-08-09 04:34:01.036849,0 days 00:00:23.321435,5.971484885159413e-05,0.9435753807840183,0.909964952518247,0.01660520009880198,0.0007436872704694781,lossguide,6.798917881282036e-05,5,9.985385073254529,0.4823437504765732,1900,COMPLETE
