number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_subsample,user_attrs_n_estimators,state
0,0.7766320000000001,2021-08-09 11:05:35.946793,2021-08-09 11:05:38.836845,0 days 00:00:02.890052,6.368820410313915e-06,0.488385985596001,0.5403758959772881,0.8207569979864698,1.3598522432816645e-08,lossguide,4.1337961478960544e-08,9,1.0206322240060293,0.5804671573836432,6,COMPLETE
1,0.8096890000000001,2021-08-09 11:05:38.837331,2021-08-09 11:05:42.297057,0 days 00:00:03.459726,0.00019337122751046602,0.6436545891100534,0.9530731221552327,0.17565259064189842,0.00019741731250948346,lossguide,0.07372496995751494,4,2.7839717237593855,0.8676158799188141,258,COMPLETE
2,0.7843706666666667,2021-08-09 11:05:42.297557,2021-08-09 11:05:47.191505,0 days 00:00:04.893948,7.054060731780936e-05,0.9466733332885631,0.3086560395512856,2.817363604064541e-07,0.035067087398206485,depthwise,0.01788394470484141,9,1.7619852243502139,0.907688145139768,28,COMPLETE
3,0.7269073333333332,2021-08-09 11:05:47.191939,2021-08-09 11:05:49.433479,0 days 00:00:02.241540,1.7581120362808833e-07,0.21435619837539477,0.3114830970515101,6.582726058347801e-06,0.028156596455726386,depthwise,0.008177842331908523,1,0.1228660587247911,0.7034357970280121,199,COMPLETE
4,0.773642,2021-08-09 11:05:49.433922,2021-08-09 11:05:51.721039,0 days 00:00:02.287117,0.00010278962782693555,0.8847413969949329,0.35688288665168966,2.888124049971878e-07,1.923654477217917e-08,lossguide,7.349478282410752e-06,6,0.2762794378445521,0.5008694742910268,49,COMPLETE
5,0.8107526666666667,2021-08-09 11:05:51.721485,2021-08-09 11:05:56.401221,0 days 00:00:04.679736,3.9338122809996564e-06,0.3219064187435999,0.786242560876828,0.08178985190432778,0.0044507692177696385,lossguide,6.38571949258397e-06,5,2.2945933775952287,0.5289725839012493,345,COMPLETE
6,0.7288093333333334,2021-08-09 11:05:56.401739,2021-08-09 11:05:59.405258,0 days 00:00:03.003519,0.007539736643538115,0.6927904440298656,0.771011964726646,1.017522204391672e-05,1.7808297676971418e-06,depthwise,0.00342445688621422,2,0.9072266738553681,0.6507133603072616,280,COMPLETE
7,0.7411106666666667,2021-08-09 11:05:59.405698,2021-08-09 11:06:01.202269,0 days 00:00:01.796571,1.884339319331651e-05,0.7268541886155107,0.3922441694562321,0.0002624876704663233,5.568004504749724e-07,depthwise,0.004558123357022459,3,7.817974233268746,0.38885480543925066,84,COMPLETE
8,0.7802226666666666,2021-08-09 11:06:01.202709,2021-08-09 11:06:04.900443,0 days 00:00:03.697734,1.6697140878674524e-06,0.652669897237678,0.9351831204476253,3.6809391667727255e-06,0.00011892056453990376,depthwise,0.0015762341129142287,7,0.09442201938901165,0.7871121376038535,69,COMPLETE
9,0.7798296666666666,2021-08-09 11:06:04.900883,2021-08-09 11:06:10.680630,0 days 00:00:05.779747,1.787179740593499e-06,0.9260744002649537,0.3700387673792671,2.372759154320326e-08,6.2942276630861575e-06,lossguide,7.069199568599388e-05,7,0.19180103244617908,0.8436494151535645,175,COMPLETE
