number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_subsample,user_attrs_n_estimators,state
0,0.8089993333333334,2021-08-08 12:24:44.586050,2021-08-08 12:25:16.925346,0 days 00:00:32.339296,2.3708363148365435e-07,0.9310654807919165,0.33216107755197855,0.009841184687509049,0.13987466467115325,lossguide,0.0023232569538191024,4,0.07535313212149723,0.30477939273750165,3543,COMPLETE
1,0.7754753333333332,2021-08-08 12:25:16.925819,2021-08-08 12:25:21.155435,0 days 00:00:04.229616,0.0002831297212781209,0.7396260474453411,0.7748172701072151,1.0382574124051275e-08,0.0034792042511619936,depthwise,0.19213443173849637,6,4.511500246644445,0.47703173051752934,160,COMPLETE
2,0.7543193333333335,2021-08-08 12:25:21.155880,2021-08-08 12:25:22.710955,0 days 00:00:01.555075,0.18964424605288333,0.45044866894059776,0.6107256391181197,1.479055618101481e-05,0.0017660850422287285,depthwise,1.253257858822453e-07,4,3.309432011810607,0.9805635492147633,24,COMPLETE
3,0.7681056666666667,2021-08-08 12:25:22.711397,2021-08-08 12:25:25.374937,0 days 00:00:02.663540,1.8699117280423262e-08,0.893682361377518,0.5037002964297461,1.7533121526639107e-05,0.1717844558446936,depthwise,0.007281936396216217,5,13.128849359498867,0.2998370887367882,108,COMPLETE
4,0.7563096666666667,2021-08-08 12:25:25.375387,2021-08-08 12:25:29.851516,0 days 00:00:04.476129,0.0002890753896048116,0.6562676460985839,0.6694891321132619,2.0077083183631186e-08,0.004697793119171191,lossguide,2.1870378765180026e-05,4,6.924183747254287,0.33220880366591415,347,COMPLETE
5,0.810685,2021-08-08 12:25:29.851954,2021-08-08 12:29:43.952549,0 days 00:04:14.100595,0.005739043871924323,0.9172653294275073,0.5830473066714714,0.001115107591937106,4.110749053455971e-06,lossguide,0.002774816804235681,8,0.013335873323473364,0.38027803485880995,7703,COMPLETE
6,0.7142683333333334,2021-08-08 12:29:43.953053,2021-08-08 12:29:45.514417,0 days 00:00:01.561364,0.15708087791320785,0.36621154541806,0.31610889410248966,1.1596049254205697e-08,1.769342558247153e-05,depthwise,1.394711077482612e-06,2,0.3538114736003996,0.24325743632762464,65,COMPLETE
7,0.7451496666666667,2021-08-08 12:29:45.514849,2021-08-08 12:29:47.631644,0 days 00:00:02.116795,0.025021037142339577,0.2775393408633793,0.30316321757399517,7.319746334212654e-07,6.846353887402712e-07,lossguide,0.17637239124287427,3,0.06668283078854188,0.8855597138294453,120,COMPLETE
8,0.7666923333333333,2021-08-08 12:29:47.632055,2021-08-08 12:29:50.416592,0 days 00:00:02.784537,0.48474167427775794,0.7792239838076516,0.5125136240656327,2.310057001760381e-06,3.287246266484633e-06,lossguide,1.5356437910946954e-06,5,0.3394445881795169,0.9403032304370174,117,COMPLETE
9,0.814239,2021-08-08 12:29:50.417013,2021-08-08 12:30:47.953988,0 days 00:00:57.536975,0.3841000327314363,0.4772960885725012,0.46095787092144963,0.006689938998929616,3.9491116537203456e-05,lossguide,0.23970980082436716,9,16.985456417432097,0.6781211196714564,2575,COMPLETE
10,0.801489,2021-08-08 12:30:47.954443,2021-08-08 12:30:51.929128,0 days 00:00:03.974685,2.79851604631134e-06,0.4649955221522597,0.8492740286648799,0.24547505821291357,1.6805565198530555e-08,lossguide,0.00012010255864688839,9,1.0648643143559073,0.6978770102548502,26,COMPLETE
11,0.7932356666666668,2021-08-08 12:30:51.929539,2021-08-08 12:31:01.004583,0 days 00:00:09.075044,0.0046023828769023965,0.5574285231390235,0.461731054426553,0.0017982664451766568,0.00011185850062534841,lossguide,0.006099762608067025,9,0.013686905034855597,0.6219592964230382,114,COMPLETE
12,0.8122873333333334,2021-08-08 12:31:01.005102,2021-08-08 12:34:14.004667,0 days 00:03:12.999565,0.004045467895493379,0.21323802560395538,0.9584130146795172,0.0012604882783118175,3.239171300249862e-07,lossguide,0.8242948570095167,7,0.03122658833997197,0.7608506455125581,10000,COMPLETE
13,0.808858,2021-08-08 12:34:14.005112,2021-08-08 12:34:17.463665,0 days 00:00:03.458553,1.200288927961915e-05,0.23031841433569433,0.981509771934885,0.14864428071846778,5.754313104307943e-08,lossguide,0.543276959362277,7,0.061312418458711236,0.7694019535951679,93,COMPLETE
