number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_subsample,user_attrs_n_estimators,state
0,0.7281779999999999,2021-08-08 14:29:49.769711,2021-08-08 14:29:51.603535,0 days 00:00:01.833824,0.8186496141890444,0.8428042293809628,0.32197591998104147,6.336877578971705e-07,1.629311712256681e-05,depthwise,1.5731763448325418e-05,2,0.0272245434891816,0.9856040534778718,51,COMPLETE
1,0.8051,2021-08-08 14:29:51.604013,2021-08-08 14:31:45.444327,0 days 00:01:53.840314,0.2907016726471356,0.5246201722273387,0.528217694271228,0.0007542352692798532,0.12785470762081647,lossguide,0.12043095638354372,5,0.06667975677761853,0.9681922064750805,10000,COMPLETE
2,0.6419363333333333,2021-08-08 14:31:45.444790,2021-08-08 14:31:46.830827,0 days 00:00:01.386037,7.925490573808596e-06,0.4519079646374107,0.7851980021184015,2.6378671005361588e-08,6.304730759213023e-07,depthwise,1.3462399632503312e-05,1,1.5459301968471832,0.527442277726812,40,COMPLETE
3,0.7978930000000001,2021-08-08 14:31:46.831259,2021-08-08 14:32:55.302851,0 days 00:01:08.471592,0.2541670018463738,0.5426219333273696,0.3818800840954312,0.0024824999465888355,2.1369183940679787e-07,depthwise,9.481785190418358e-06,2,12.714093371560187,0.40293231738785046,10000,COMPLETE
4,0.8102336666666666,2021-08-08 14:32:55.303337,2021-08-08 14:34:08.367292,0 days 00:01:13.063955,3.748974073841819e-06,0.4231231278032171,0.8283620973168877,0.0050883471459610445,0.009492520922760669,lossguide,2.9591857044958023e-08,4,0.028212881210279157,0.7116457962658094,8022,COMPLETE
5,0.6084546666666667,2021-08-08 14:34:08.367749,2021-08-08 14:34:09.520582,0 days 00:00:01.152833,0.05340074957592687,0.8750902461644898,0.9443128853947378,2.555188585340036e-07,1.1662168721669635e-08,depthwise,0.022941918831796675,1,0.01759212935073102,0.43602232883006026,1,COMPLETE
6,0.8128046666666666,2021-08-08 14:34:09.521081,2021-08-08 14:34:41.738017,0 days 00:00:32.216936,3.871004886175142e-07,0.3025044685444356,0.38979898353052445,0.012904189523901042,0.005419908257091663,depthwise,2.730472407484652e-07,7,3.562650202590595,0.6718836055134495,1981,COMPLETE
7,0.8115009999999999,2021-08-08 14:34:41.738455,2021-08-08 14:35:11.578328,0 days 00:00:29.839873,4.6423915118245653e-07,0.8581852231981804,0.8775813281769758,0.011424544267844542,0.00375881499759793,lossguide,0.1019082874652218,8,1.104765499834551,0.4056862543223549,858,COMPLETE
8,0.7582099999999999,2021-08-08 14:35:11.578761,2021-08-08 14:35:14.721020,0 days 00:00:03.142259,2.687881718604975e-07,0.20424674571166276,0.43186713378232133,0.00015029324508198947,0.01069788144415849,lossguide,0.9428290397682689,5,1.3501731174845764,0.20958508836112336,170,COMPLETE
9,0.80835,2021-08-08 14:35:14.721450,2021-08-08 14:35:28.643914,0 days 00:00:13.922464,1.5078100793318807e-05,0.9564109507628413,0.48712990040976384,0.01831841720683534,0.06357793265610596,depthwise,2.9375184911336802e-08,8,0.020209595316618877,0.30692774348342183,393,COMPLETE
10,0.7980816666666666,2021-08-08 14:35:28.644342,2021-08-08 14:35:31.387640,0 days 00:00:02.743298,0.001270107459946001,0.2037783476808809,0.2024603722709955,0.6450555234371087,0.00018324529259349236,depthwise,2.998162266171532e-07,9,13.321381984652833,0.7175097994758958,78,COMPLETE
11,0.8062803333333334,2021-08-08 14:35:31.388089,2021-08-08 14:35:34.829018,0 days 00:00:03.440929,1.171295515427207e-08,0.7182222455030833,0.6750800322380656,0.14231533358141701,0.00033926760479880487,lossguide,0.001766384446890251,7,0.40133837432649705,0.6562616004220444,72,COMPLETE
12,0.7785206666666666,2021-08-08 14:35:34.829453,2021-08-08 14:35:38.904908,0 days 00:00:04.075455,8.62831404861103e-08,0.6555009540890329,0.9904631734640963,1.1489573236775218e-05,0.0016278286122387417,lossguide,0.00047165237214908236,7,3.405270397834554,0.8421983682158501,71,COMPLETE
13,0.8101456666666667,2021-08-08 14:35:38.905353,2021-08-08 14:35:46.734243,0 days 00:00:07.828890,0.00040798270965458644,0.3230000813357458,0.6689148990819477,0.04292049839099142,0.7690654614035584,lossguide,1.0656246577509142e-06,7,0.24211103620010357,0.5514795372937972,346,COMPLETE
14,0.778975,2021-08-08 14:35:46.734688,2021-08-08 14:35:55.331668,0 days 00:00:08.596980,5.226099409314541e-07,0.7314865310578609,0.25806674529974744,1.9916747853609193e-05,3.277887489112361e-05,lossguide,0.0033448631601776684,9,4.187739266563343,0.4374983595885201,150,COMPLETE
15,0.7721716666666666,2021-08-08 14:35:55.332110,2021-08-08 14:36:00.345315,0 days 00:00:05.013205,2.7647313037810293e-08,0.33623713281361445,0.5690303871472646,0.00038184084931845827,0.0024527908328031253,depthwise,0.00012790102412881568,6,0.9118679775455807,0.8038628615547005,233,COMPLETE
16,0.797739,2021-08-08 14:36:00.345765,2021-08-08 14:36:02.779161,0 days 00:00:02.433396,1.4327615661471027e-06,0.8072313698483178,0.8676463314702846,0.46702212129648996,5.2878693273094305e-06,depthwise,8.173481184493709e-07,8,4.482877431198052,0.5894654342498711,13,COMPLETE
17,0.8116976666666668,2021-08-08 14:36:02.779601,2021-08-08 14:36:22.709169,0 days 00:00:19.929568,5.545693198006593e-05,0.9899660376907599,0.6743284748607659,0.015471969836300533,0.0007957241545920927,lossguide,0.9871032344580548,6,0.14759566256191387,0.3268047875622231,1163,COMPLETE
18,0.8052163333333334,2021-08-08 14:36:22.709614,2021-08-08 14:36:27.182338,0 days 00:00:04.472724,6.115890998822728e-05,0.9857709891281206,0.6646143319384679,0.07471792225020991,0.00036428544439537965,lossguide,1.3484530653260906e-07,4,0.10362888107157216,0.22507360253057096,353,COMPLETE
