number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_subsample,user_attrs_n_estimators,state
0,0.8091616666666667,2021-08-08 15:35:16.009820,2021-08-08 15:35:27.579425,0 days 00:00:11.569605,0.004286693697258464,0.5843347676927422,0.6031692318069763,0.022098980424800747,0.04074282701289914,depthwise,3.560759665507877e-08,5,0.49357836422040396,0.2840065402006947,926,COMPLETE
1,0.7886646666666666,2021-08-08 15:35:27.579936,2021-08-08 15:35:37.972553,0 days 00:00:10.392617,0.004701060419745529,0.48127579739252146,0.6539064642367198,1.108577443109616e-08,0.0001434307314365029,depthwise,0.5657558238309911,8,6.4341937458149046,0.4407701264568787,266,COMPLETE
2,0.7451583333333334,2021-08-08 15:35:37.973069,2021-08-08 15:35:39.998091,0 days 00:00:02.025022,0.00028901420613410873,0.4947225392070908,0.404090437080971,0.0019191643132982282,3.600057160460549e-07,depthwise,0.00012142347463236511,3,0.029426378101208222,0.7848157039325259,99,COMPLETE
3,0.789714,2021-08-08 15:35:39.998540,2021-08-08 15:35:42.624940,0 days 00:00:02.626400,0.004021223186159189,0.3529990391942371,0.9958143438253828,0.6775733833900744,0.07150550382725195,lossguide,1.7202095346309023e-05,1,18.970367943641328,0.7116866150268584,234,COMPLETE
4,0.8077696666666666,2021-08-08 15:35:42.625377,2021-08-08 15:35:50.854191,0 days 00:00:08.228814,4.7173757730131615e-07,0.20811149991789402,0.5354601691134777,0.07311052550002331,6.393076643444183e-07,lossguide,1.2379465697207199e-06,9,0.015607395407702972,0.7357890035284622,124,COMPLETE
5,0.7748626666666668,2021-08-08 15:35:50.854621,2021-08-08 15:35:52.739198,0 days 00:00:01.884577,1.867166755131553e-05,0.4588316540468729,0.5409069150688498,0.0005794074056185525,0.001649254228752293,lossguide,0.23029259706429403,6,2.912316858961584,0.5191984382364216,19,COMPLETE
6,0.8086686666666667,2021-08-08 15:35:52.739650,2021-08-08 15:36:06.960762,0 days 00:00:14.221112,6.965787860798039e-07,0.9935094030460969,0.34670537657310235,0.02837640802327095,1.394681539992987e-06,lossguide,1.013336800641153e-05,8,0.02459821766958634,0.4024337580165307,354,COMPLETE
7,0.7419669999999999,2021-08-08 15:36:06.961189,2021-08-08 15:36:10.649865,0 days 00:00:03.688676,0.005881268126525473,0.23232104405812218,0.3478328239207056,3.141728547442288e-07,1.3344802330113033e-05,lossguide,1.1794954962403168e-07,2,0.22693127510575647,0.8251702748397214,356,COMPLETE
8,0.775562,2021-08-08 15:36:10.650313,2021-08-08 15:36:17.067388,0 days 00:00:06.417075,0.0002094961850700042,0.7771782153749409,0.23330619297776176,6.421527865597676e-05,9.289534276889335e-07,depthwise,0.042717381807248225,8,0.7794567900501103,0.3688384834363693,142,COMPLETE
9,0.78608,2021-08-08 15:36:17.067833,2021-08-08 15:37:27.011728,0 days 00:01:09.943895,1.0217001563988349e-07,0.23940529202789662,0.9500590360888437,0.0007668538515822058,0.08846350012028426,lossguide,0.10206900187384874,2,0.013051536126867101,0.4595238507850059,10000,COMPLETE
10,0.7713586666666666,2021-08-08 15:37:27.012173,2021-08-08 15:37:32.163876,0 days 00:00:05.151703,0.46636348343223505,0.6885247958819984,0.7648351031633361,5.19199317210089e-05,0.824550215617929,depthwise,1.0114834015138143e-08,5,0.19287464272346394,0.22499349301481114,320,COMPLETE
11,0.8073133333333334,2021-08-08 15:37:32.164318,2021-08-08 15:37:39.374407,0 days 00:00:07.210089,2.9462037515585805e-06,0.917090952361464,0.7557880924336048,0.03522265704783905,2.3080515638971848e-08,depthwise,0.0007926967111618209,5,0.07204385462252592,0.24786968585547378,506,COMPLETE
12,0.810709,2021-08-08 15:37:39.374873,2021-08-08 15:37:53.564840,0 days 00:00:14.189967,1.5467246872989853e-08,0.9648380810649348,0.42793487837353567,0.021427982226226727,0.0004955811495520378,lossguide,2.2703787686541415e-06,6,0.8451582628211448,0.3423040724064146,877,COMPLETE
13,0.7940459999999999,2021-08-08 15:37:53.565288,2021-08-08 15:37:55.283663,0 days 00:00:01.718375,0.597907893282362,0.6424181141208127,0.47316635324949663,0.6671857222125539,0.0017399413587972333,depthwise,1.5916113423713774e-07,6,1.079595278721922,0.5899839886278337,14,COMPLETE
14,0.7586046666666667,2021-08-08 15:37:55.284110,2021-08-08 15:37:57.493626,0 days 00:00:02.209516,1.369078794728767e-08,0.8318613087124794,0.6267556864810251,4.601114514888301e-06,0.004693134967105389,depthwise,1.1817268474559526e-08,4,1.8242642159411726,0.3251061020182574,95,COMPLETE
15,0.8108753333333333,2021-08-08 15:37:57.494087,2021-08-08 15:38:38.885816,0 days 00:00:41.391729,0.01936183178240241,0.7760027396785667,0.6984705171810222,0.007152488962550356,0.015259014508293004,lossguide,9.426713764061758e-07,6,0.3766152279378195,0.9952464545510165,2608,COMPLETE
