number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_subsample,user_attrs_n_estimators,state
0,0.7512456666666667,2021-08-08 16:13:03.767968,2021-08-08 16:13:07.342080,0 days 00:00:03.574112,0.006293576338238516,0.43492924550682777,0.5620953875096357,6.338684169940874e-08,0.10505322198210221,depthwise,9.78468202172845e-07,4,1.4960058082104137,0.8746494376618033,245,COMPLETE
1,0.7854726666666667,2021-08-08 16:13:07.342564,2021-08-08 16:13:13.364358,0 days 00:00:06.021794,0.007660670312242478,0.6564107350818065,0.8958795360320086,9.802940136387526e-06,6.786032175235716e-05,depthwise,1.0657436499983161e-05,8,2.008287242517422,0.5389431941376608,94,COMPLETE
2,0.7418566666666667,2021-08-08 16:13:13.364845,2021-08-08 16:13:14.910189,0 days 00:00:01.545344,0.0005004005893275175,0.7860063543137568,0.21428693001025165,2.3631086579209605e-06,0.007418380950864368,depthwise,0.21237308663497842,3,0.14929128843119668,0.7932045122808569,52,COMPLETE
3,0.7453436666666667,2021-08-08 16:13:14.910633,2021-08-08 16:13:16.440923,0 days 00:00:01.530290,4.578287283632816e-08,0.5918230218845661,0.9665444164956096,5.8966628824187795e-06,1.5010072304722653e-05,lossguide,0.013755521919467939,3,0.10205131693234225,0.31356842502308846,48,COMPLETE
4,0.801755,2021-08-08 16:13:16.441360,2021-08-08 16:13:19.041264,0 days 00:00:02.599904,5.788062934273779e-07,0.3117246805573589,0.9857231802346531,0.12706211210983226,5.7319885666761763e-08,lossguide,0.008136251660064271,5,0.028820883632282846,0.37293498935003505,133,COMPLETE
5,0.8087433333333333,2021-08-08 16:13:19.041692,2021-08-08 16:14:55.154263,0 days 00:01:36.112571,6.367245816077231e-05,0.3703274424696207,0.7173273743103654,0.0021739373115324603,0.0008126096021215142,lossguide,1.0526235753942713e-07,5,11.651495466841666,0.6007588690159618,10000,COMPLETE
6,0.7862026666666666,2021-08-08 16:14:55.154701,2021-08-08 16:14:59.669918,0 days 00:00:04.515217,3.216329775544995e-08,0.9760061962940914,0.8142704247016721,5.088677094307647e-07,4.3134720576189355e-06,lossguide,1.997980319564699e-05,8,0.2280646560817562,0.6350955867484098,47,COMPLETE
7,0.7507619999999999,2021-08-08 16:14:59.670341,2021-08-08 16:15:01.405808,0 days 00:00:01.735467,2.7095154769294085e-07,0.6962892243268188,0.32689261861326135,4.794438666508432e-08,6.913036639991793e-05,lossguide,4.146065558452979e-07,4,0.011411179340306379,0.9325188084000264,56,COMPLETE
8,0.8090670000000001,2021-08-08 16:15:01.406240,2021-08-08 16:15:57.963921,0 days 00:00:56.557681,0.4421429495071803,0.36666847972281735,0.9750377819890865,0.004656294564575446,0.10098348225376995,depthwise,1.3727491236299395e-07,6,1.7624476300103702,0.871585556180599,4342,COMPLETE
9,0.7871076666666666,2021-08-08 16:15:57.964362,2021-08-08 16:16:02.309256,0 days 00:00:04.344894,3.726769152861751e-05,0.6309617139051418,0.5043014076747198,8.21975187471065e-06,6.867208075788237e-08,lossguide,1.7273927804507484e-06,8,6.137075821223256,0.6339028633483026,65,COMPLETE
