Degree,Abbreviations
Master of Architecture (Professional Degree) or Master of Science in Architecture (Research Degree),march
Master of Architecture (Professional Degree) or Master of Science in Architecture (Research Degree),ms
Master of Arts,ma
Master of Arts,am
Master of Business Administration,mba
Master of Chemistry,mchem
Master of Commerce,mcom
Master of Computer Application,mca
Master of Divinity,mdiv
Master of Education (Master of Science in Education),med
Master of Education (Master of Science in Education),msed
Master of Emergency Management,mem
Master of Emergency and Disaster Management,medm
Master of Engineering,me
Master of Engineering,meng
Master of Fine Arts,mfa
Master of Health or Healthcare Management,mschm
Master of Health or Healthcare Management,mhm
Master of Health Infromatics,mschi
Master of Health Infromatics,mhi
Master of International Affairs,mia
Master of International Studies,mis
Master of Laws,llm
Master of Library Science,mls
Master of Liberal Arts,mla
Master of Library and Information Science,mlis
Master of Music,mm
Master of Professional Studies,mps
Master of Public Administration,mpa
Master of Public Health,mph
Master of Science,ms
Master of Science,msc
Master of Science in Information,msi
Master of Social Work,msw
Master of Strategic Foresight,msf
Master of Sustainable Energy and Environmental Management,mseem
Master of Technology,mtech
Master of Technology Managment,mtm
Master of Theology,thm
Master of Philosophy,mphil
Master of Physics,mphys
Master of Mathematics,mmath
Master of Science,msci
