,article_id,people,orgs,potential_startups,matched_title
0,0,"['Y Combinator', 'Sambhav Jain', 'Kush Taneja', 'Jain', 'Greenlight', 'Mridul Arora', 'Arora', 'Jain', 'Arora', 'Jain', 'Taneja', 'Hotstar', 'Jain', 'Jain', 'Jain', 'Kunal Shah', 'Amrish Rau', 'Jain']","['FamPay', 'Elevation Capital', 'Rocketship VC', 'Greenoaks Capital', 'Global Founders Capital and Venture Highway', 'Elevation Capital', 'Indian Institute of Technology', 'Till', 'Elevation Capital', 'Netflix', 'Combinator', 'Pine Labs']",['FamPay'],1
1,1,"['Martin Basiri', 'Basiri']","['ApplyBoard', 'Ontario Teachers Pension Plan Board', 'ApplyBoard', 'ApplyBoard', 'ApplyBoard', 'Education Testing Services', 'ETS ) Strategy Capital', 'ETS', 'GRE', 'ApplyProof', 'Ontario Teachers Pension Plan']","['ApplyBoard', 'Ontario Teachers Pension Plan Board', 'ApplyBoard', 'ApplyBoard', 'ApplyBoard', 'Education Testing Services', 'ETS ) Strategy Capital', 'ETS', 'GRE', 'ApplyProof', 'Ontario Teachers Pension Plan']",0
2,2,"['Johan Brenner', 'Spotify', 'Brenner', 'Spotify', 'Daniel Ek', 'Sebastian Siemiatkowski', 'Jacob de Geer', 'Magnus Nilsson', 'Brenner', 'Matthew Johnson', 'Walter Thompson', 'Nubank', 'Marcella McCarthy', 'David Velez', 'Velez', 'Doug Leone', 'Velez', 'Marcella', 'Vitor Olivier', 'Nubank', 'Didi ’', 'Didi', 'Alex Wilhelm', 'Didi ’', 'Didi', 'Didi', 'Bryce Durbin', 'Aria Alamalhodaei', 'Kwanchai Lerttanapunyaporn', 'Jensen', 'Jensen', 'Nuro', 'Apeksha Kumavat', 'Nuro', 'Amy Jones Satrom', 'Domino', 'Waabi', 'Raquel Urtasun', 'Waabi', 'Natalia Dola Raquel Urtasun', 'Khosla Ventures']","['Full Extra Crunch', 'TC Mobility', 'Refraction AI', 'Extra Crunch', 'Nubank', 'Nigel Sussman Founded', 'Nubank', 'Nubank', 'Kaszek Ventures', 'SEC', 'GTV', 'Momenta', 'Momenta', 'WeRide', 'LinkedIn', 'Apple', 'Google', 'CTO', 'Gatik', 'Starship Technologies', 'CTO Ahti Heinla', 'Walmart', 'ATG', 'AVs']","['TC Mobility', 'Extra Crunch', 'Nubank', 'Nubank', 'Nubank']",1
3,3,"['Johan Brenner', 'Johan Brenner', 'Vivino', 'Daniel Ek', 'Sebastian Siemiatkowski', 'Johannes Schildt', 'Kry', 'Jacob de Geer', 'Magnus Nilsson', 'Emil Eifrem', 'Christian Hecker']",[],[],0
4,4,"['Bill Gross', 'Movers Lab', 'Ocgrow Ventures', 'A.T. Gekko', 'Rio Tinto', 'Heliogen']","['Heliogen', 'ArcelorMittal', 'Edison International', 'Heliogen', 'MOU', 'MOU', 'ArcelorMittal', 'ArcelorMittal', 'MENA']","['Heliogen', 'Heliogen']",1
5,5,"['Emmanuel Macron', 'Alan', 'Axel Springer', 'Bpifrance', 'Darktrace', 'Doctolib', 'Flixbus', 'Glovo', 'OVHcloud', 'Stripe', 'Wise', 'Macron', 'Tibi', 'Macron']","['Deutsche Startups', 'La French Tech', 'Shift Technology', 'UiPath', 'European Commission', 'European Investment Fund', 'European Union', 'European Innovation Council', 'Scale-Up Europe', 'La French Tech', 'European Commission']","['Deutsche Startups', 'La French Tech', 'Shift Technology', 'UiPath', 'European Commission', 'European Investment Fund', 'European Union', 'European Innovation Council', 'Scale-Up Europe', 'La French Tech', 'European Commission']",0
6,6,"['Johnson-Roberson', 'Matthew Johnson-Roberson', 'Ann Arbor']","['Refraction AI', 'University of Michigan', 'CTO Matthew Johnson-Roberson', 'AV', 'Refraction AI']","['Refraction AI', 'Refraction AI']",1
7,7,"['Panaseer', 'Viptela', 'VPNs', 'Mike Goguen', 'James Winebrenner', 'Elisity', 'Winebrenner', 'Elisity']","['Elisity', 'Two Bear Capital', 'AllegisCyber Capital', 'Elisity', 'Cisco', 'Cognitive Trust', 'VLAN', 'MAC', 'Cognitive Trust', 'Two Bear Capital', 'Vectra AI', 'Lastline', 'Elisity']","['Elisity', 'Elisity', 'Elisity']",1
8,8,"['Cameron Johnson', 'Greystar', 'Johnson', 'Nickson', 'Cameron Johnson', 'Nickson', 'Johnson', 'Nickson', 'Nickson', 'Nickson', 'Nickson', 'Nickson', 'Johnson', 'Nickson', 'Robbie Robinson', 'Nickson', 'Johnson', 'Robinson', 'Barack Obama', 'Kabir Ahmed', 'Nickson', 'Nickson', 'Nickson', 'Oliver Space', 'Fernish', 'Nickson', 'Johnson']","['Harvard Business School', 'Pendulum Opportunities LLC', 'Pendulum Holdings LLC', 'Backstage Capital', 'Pendulum', 'The Landing']","['Harvard Business School', 'Pendulum Opportunities LLC', 'Pendulum Holdings LLC', 'Backstage Capital', 'Pendulum', 'The Landing']",0
9,9,"['Wristcam', 'Ari Roisman', 'Roisman', 'Sherlock']","['Apple', 'Marker LLC', 'TechCrunch', 'Watch SE', 'Apple', 'DSLR', 'Apple Watch']","['Apple', 'Apple', 'Apple Watch']",1
10,10,"['Art Zeile', 'Dice']","['Art Zeile Contributor Share', 'DHI Group']","['Art Zeile Contributor Share', 'DHI Group']",0
11,11,"['Farnam Jahanian', 'Mayor Bill Peduto', 'Mayor Peduto', 'Jahanian', 'Peduto', 'Peduto', 'Duolingo', 'Matt Burns', 'Mayor Peduto']","['Carnegie Mellon University', 'Pittsburgh', 'Carnegie Mellon University and Pennsylvania State University', 'City Council', 'CMU']",['Pittsburgh'],1
12,12,"['Tessa Lau', 'Rich Boyle', 'Lau']","['Canaan Partners', 'NextGen Venture Partners', 'Root Ventures', 'Cantos Ventures', 'TechCrunch', 'COVID', 'COVID', 'Ikea', 'Swinerton', 'DPR Construction', 'Build Group', 'Pankow Builders']","['Canaan Partners', 'NextGen Venture Partners', 'Root Ventures', 'Cantos Ventures', 'TechCrunch', 'COVID', 'COVID', 'Ikea', 'Swinerton', 'DPR Construction', 'Build Group', 'Pankow Builders']",0
13,13,"['Mar Hershenson', 'Hershenson', 'Hershenson', 'Hershenson', 'Sabio Labs', 'Hershenson', 'Hershenson']","['Pear VC', 'Craft Your Pitch Deck', 'Guardant Health', 'DoorDash', 'Aurora Solar', 'BioAge', 'Branch', 'Barcelona Design', 'Revel Touch']","['Pear VC', 'Craft Your Pitch Deck', 'Guardant Health', 'DoorDash', 'Aurora Solar', 'BioAge', 'Branch', 'Barcelona Design', 'Revel Touch']",0
14,14,"['James Slifierz', 'Slifierz', 'Shopify', 'Shopify', 'Slifierz', 'Slifierz']","['SatRevolution', 'Drive Capital', 'Bullpen Capital', 'Space Capital', 'Golden Ventures', 'BDC Ventures', 'SkyWatch', 'SkyWatch', 'TerraStream', 'SatRevolution', 'TerraStream', 'Shopify', 'SkyWatch', 'AWS']","['SkyWatch', 'SkyWatch', 'SkyWatch']",1
15,15,"['Michael May', 'Jayson Myers', 'Donald Trump', 'Trump', 'Trump']","['Michael May Contributor Share', 'Centre for Commercialization of Regenerative Medicine', 'Jayson Myers Contributor Share', 'Next Generation Manufacturing Canada', 'Innovation Economy Council', 'IEC', 'Big Pharma CEOs']","['Michael May Contributor Share', 'Centre for Commercialization of Regenerative Medicine', 'Jayson Myers Contributor Share', 'Next Generation Manufacturing Canada', 'Innovation Economy Council', 'IEC', 'Big Pharma CEOs']",0
16,16,"['Macrometa', 'Macrometa', 'Sway Ventures', 'Macrometa', 'Macrometa', 'Chris Cooper', 'Pelion', 'Zain Rizavi', 'Eva Nahari', 'Macrometa', 'Macrometa', 'Chetan Venkatesh', 'Chetan Venkatesh', 'Macrometa', 'Cloudflare', 'Venkatesh', 'Macrometa', 'Venkatesh', 'Macrometa', 'Venkatesh', 'Macrometa', 'Apache Kafka', 'Chris Cooper', 'Macrometa']","['Pelion Venture Partners', 'DNX Ventures', 'Benhamou Global Ventures', 'Partech Partners', 'Fusion Fund', 'Shasta Ventures', 'DNX Ventures', 'Macrometa', 'Macrometa Since', 'TechCrunch', 'Cloudflare Workers', 'CDN', 'API', 'Tibco', 'Pelion Venture Partners']","['Pelion Venture Partners', 'Macrometa', 'Pelion Venture Partners']",1
17,17,"['David Blake', 'Blake', 'Aaron Rasmussen', 'Otis Chandler', 'Emily Chang', 'Lara Prescott', 'Colin Bryar', 'Bill Carr', 'Blake', 'BookClub', 'Emily Chang', 'Blake', 'Blake', 'Oprah', 'Barbara Corcoran', 'BookClub', 'Blake']","['LearnIn', 'BookClub', 'BookClub', 'Signal Peak Ventures', 'GSV Ventures', 'Maveron', 'Backstage Capital\u200b', 'Pelion Venture Partners\u200b', 'MasterClass', 'BookClub', 'BookClub', 'BookClub', 'New York Times', 'BookClub', 'Shark Tales']","['BookClub', 'BookClub', 'BookClub', 'BookClub', 'BookClub', 'BookClub']",1
18,18,['Jack Morrison'],"['Scythe Robotics', 'Inspired Capital', 'True Ventures', 'Zigg Capital and Lemnos', 'True Ventures', 'HDR', 'Left Hand Robotics', 'iRobot']","['Scythe Robotics', 'Inspired Capital', 'True Ventures', 'Zigg Capital and Lemnos', 'True Ventures', 'HDR', 'Left Hand Robotics', 'iRobot']",0
